Species	Symbol	Gene_ID
Arabidopsis_thaliana	EDF3	AT3G25730
Arabidopsis_thaliana	AtRAV2	AT1G68840
Arabidopsis_thaliana	AtRAV2	AT1G68840
Arabidopsis_thaliana	AtRAV1	AT1G13260
Arabidopsis_thaliana	AtTEM1	AT1G25560
Arabidopsis_thaliana	ANAC001	AT1G01010
Arabidopsis_thaliana	bHLH013	AT1G01260
Arabidopsis_thaliana	bHLH013	AT1G01260
Arabidopsis_thaliana	bHLH013	AT1G01260
Arabidopsis_thaliana	ANAC002	AT1G01720
Arabidopsis_thaliana	SPL8	AT1G02065
Arabidopsis_thaliana	SPL8	AT1G02065
Arabidopsis_thaliana	ANAC003	AT1G02220
Arabidopsis_thaliana	ANAC004	AT1G02230
Arabidopsis_thaliana	anac005	AT1G02250
Arabidopsis_thaliana	FBI1	AT1G02340
Arabidopsis_thaliana	bHLH007	AT1G03040
Arabidopsis_thaliana	bHLH007	AT1G03040
Arabidopsis_thaliana	ANAC006	AT1G03490
Arabidopsis_thaliana	GBF4	AT1G03970
Arabidopsis_thaliana	AKS2	AT1G05805
Arabidopsis_thaliana	bZIP69	AT1G06070
Arabidopsis_thaliana	bHLH089	AT1G06170
Arabidopsis_thaliana	bHLH089	AT1G06170
Arabidopsis_thaliana	LBD2	AT1G06280
Arabidopsis_thaliana	AtbZIP52	AT1G06850
Arabidopsis_thaliana	AtbZIP52	AT1G06850
Arabidopsis_thaliana	ATGRAS2	AT1G07530
Arabidopsis_thaliana	OBP2	AT1G07640
Arabidopsis_thaliana	OBP2	AT1G07640
Arabidopsis_thaliana	OBP2	AT1G07640
Arabidopsis_thaliana	LBD1	AT1G07900
Arabidopsis_thaliana	NF-YC10	AT1G07980
Arabidopsis_thaliana	GATA10	AT1G08000
Arabidopsis_thaliana	GATA10	AT1G08000
Arabidopsis_thaliana	GATA11	AT1G08010
Arabidopsis_thaliana	GATA11	AT1G08010
Arabidopsis_thaliana	bZIP21	AT1G08320
Arabidopsis_thaliana	bZIP21	AT1G08320
Arabidopsis_thaliana	bZIP21	AT1G08320
Arabidopsis_thaliana	YAB2	AT1G08465
Arabidopsis_thaliana	HAP5C	AT1G08970
Arabidopsis_thaliana	HAP5C	AT1G08970
Arabidopsis_thaliana	HAP5C	AT1G08970
Arabidopsis_thaliana	HAP5C	AT1G08970
Arabidopsis_thaliana	NF-YB4	AT1G09030
Arabidopsis_thaliana	PAP3	AT1G09530
Arabidopsis_thaliana	PAP3	AT1G09530
Arabidopsis_thaliana	CIB4	AT1G10120
Arabidopsis_thaliana	ATNFXL1	AT1G10170
Arabidopsis_thaliana	FRS11	AT1G10240
Arabidopsis_thaliana	ANAC007	AT1G12260
Arabidopsis_thaliana	ICE2	AT1G12860
Arabidopsis_thaliana	GT-1	AT1G13450
Arabidopsis_thaliana	GT-1	AT1G13450
Arabidopsis_thaliana	GT-1	AT1G13450
Arabidopsis_thaliana	AtbZIP58	AT1G13600
Arabidopsis_thaliana	WRKY4	AT1G13960
Arabidopsis_thaliana	WRKY4	AT1G13960
Arabidopsis_thaliana	ATWHY1	AT1G14410
Arabidopsis_thaliana	AtHB31	AT1G14440
Arabidopsis_thaliana	AtHB31	AT1G14440
Arabidopsis_thaliana	ATBPC2	AT1G14685
Arabidopsis_thaliana	ATBPC2	AT1G14685
Arabidopsis_thaliana	ATBPC2	AT1G14685
Arabidopsis_thaliana	AtHB32	AT1G14687
Arabidopsis_thaliana	GAI	AT1G14920
Arabidopsis_thaliana	ASL9	AT1G16530
Arabidopsis_thaliana	ATSHA	AT1G17040
Arabidopsis_thaliana	ATSHA	AT1G17040
Arabidopsis_thaliana	NF-YA8	AT1G17590
Arabidopsis_thaliana	NF-YA8	AT1G17590
Arabidopsis_thaliana	NF-YA8	AT1G17590
Arabidopsis_thaliana	NF-YA8	AT1G17590
Arabidopsis_thaliana	BEE1	AT1G18400
Arabidopsis_thaliana	AtRKD1	AT1G18790
Arabidopsis_thaliana	MIF3	AT1G18835
Arabidopsis_thaliana	ATWRKY61	AT1G18860
Arabidopsis_thaliana	BES1	AT1G19350
Arabidopsis_thaliana	BES1	AT1G19350
Arabidopsis_thaliana	BES1	AT1G19350
Arabidopsis_thaliana	BES1	AT1G19350
Arabidopsis_thaliana	BES1	AT1G19350
Arabidopsis_thaliana	bZIP62	AT1G19490
Arabidopsis_thaliana	SRS7	AT1G19790
Arabidopsis_thaliana	SRS7	AT1G19790
Arabidopsis_thaliana	NLP4	AT1G20640
Arabidopsis_thaliana	NLP4	AT1G20640
Arabidopsis_thaliana	ATSPL14	AT1G20980
Arabidopsis_thaliana	SCL1	AT1G21450
Arabidopsis_thaliana	AtLEC1	AT1G21970
Arabidopsis_thaliana	TGA3	AT1G22070
Arabidopsis_thaliana	bHLH094	AT1G22490
Arabidopsis_thaliana	INO	AT1G23420
Arabidopsis_thaliana	MEE8	AT1G25310
Arabidopsis_thaliana	CES	AT1G25330
Arabidopsis_thaliana	ANAC008	AT1G25580
Arabidopsis_thaliana	CIB5	AT1G26260
Arabidopsis_thaliana	CIB5	AT1G26260
Arabidopsis_thaliana	CIB5	AT1G26260
Arabidopsis_thaliana	CDF6	AT1G26790
Arabidopsis_thaliana	ANAC009	AT1G26870
Arabidopsis_thaliana	KDR	AT1G26945
Arabidopsis_thaliana	SPL11	AT1G27360
Arabidopsis_thaliana	SPL11	AT1G27360
Arabidopsis_thaliana	SPL11	AT1G27360
Arabidopsis_thaliana	SPL11	AT1G27360
Arabidopsis_thaliana	SPL10	AT1G27370
Arabidopsis_thaliana	SPL10	AT1G27370
Arabidopsis_thaliana	SPL10	AT1G27370
Arabidopsis_thaliana	SPL10	AT1G27370
Arabidopsis_thaliana	PFA5	AT1G27660
Arabidopsis_thaliana	RSL4	AT1G27740
Arabidopsis_thaliana	ANAC010	AT1G28470
Arabidopsis_thaliana	ATVOZ1	AT1G28520
Arabidopsis_thaliana	ATVOZ1	AT1G28520
Arabidopsis_thaliana	COG1	AT1G29160
Arabidopsis_thaliana	ABT3	AT1G29280
Arabidopsis_thaliana	ATWRKY71	AT1G29860
Arabidopsis_thaliana	SACL3	AT1G29950
Arabidopsis_thaliana	SACL3	AT1G29950
Arabidopsis_thaliana	ATTCP24	AT1G30210
Arabidopsis_thaliana	ATTCP24	AT1G30210
Arabidopsis_thaliana	NF-YA7	AT1G30500
Arabidopsis_thaliana	NF-YA7	AT1G30500
Arabidopsis_thaliana	ABT1	AT1G30650
Arabidopsis_thaliana	PFA1	AT1G31050
Arabidopsis_thaliana	LBD4	AT1G31320
Arabidopsis_thaliana	AtbZIP68	AT1G32150
Arabidopsis_thaliana	ATHSFA1D	AT1G32330
Arabidopsis_thaliana	ANAC011	AT1G32510
Arabidopsis_thaliana	ATMYC2	AT1G32640
Arabidopsis_thaliana	MIS	AT1G32730
Arabidopsis_thaliana	ANAC012	AT1G32770
Arabidopsis_thaliana	ANAC013	AT1G32870
Arabidopsis_thaliana	ANAC013	AT1G32870
Arabidopsis_thaliana	ANAC014	AT1G33060
Arabidopsis_thaliana	ANAC014	AT1G33060
Arabidopsis_thaliana	AT-GTL1	AT1G33240
Arabidopsis_thaliana	ANAC015	AT1G33280
Arabidopsis_thaliana	anac016	AT1G34180
Arabidopsis_thaliana	anac016	AT1G34180
Arabidopsis_thaliana	anac017	AT1G34190
Arabidopsis_thaliana	CFLAP2	AT1G35460
Arabidopsis_thaliana	AtTCP23	AT1G35560
Arabidopsis_thaliana	LBD5	AT1G36000
Arabidopsis_thaliana	ATBZIP60	AT1G42990
Arabidopsis_thaliana	AtVIP1	AT1G43700
Arabidopsis_thaliana	GPL4	AT1G44810
Arabidopsis_thaliana	ABF2	AT1G45249
Arabidopsis_thaliana	ABF2	AT1G45249
Arabidopsis_thaliana	ABF2	AT1G45249
Arabidopsis_thaliana	AT-HSFB4	AT1G46264
Arabidopsis_thaliana	ATE2F2	AT1G47870
