Species	TF_ID	Gene_ID_v0.4	Gene_ID	symbol
Triticum_aestivum	Traes_3B_90BE2090B.1	Traes_3B_90BE2090B	TraesCS3B01G064900	NA
Triticum_aestivum	Traes_3B_DF7E92499.1	Traes_3B_DF7E92499	TraesCSU01G227200	NA
Triticum_aestivum	Traes_3B_DF7E924991.1	Traes_3B_DF7E924991	TraesCSU01G227200	NA
Triticum_aestivum	Traes_1AL_00A8A2030.2	Traes_1AL_00A8A2030	TraesCS1A01G311900	NA
Triticum_aestivum	Traes_1AL_0404BC790.1	Traes_1AL_0404BC790	TraesCS1A01G348600	NA
Triticum_aestivum	Traes_1AL_0B583488F.1	Traes_1AL_0B583488F	TraesCS1A01G418600	NA
Triticum_aestivum	Traes_1AL_1751C4BBF.2	Traes_1AL_1751C4BBF	TraesCS7B01G292500	NA
Triticum_aestivum	Traes_1AL_179FC28F2.1	Traes_1AL_179FC28F2	TraesCS1A01G276000	NA
Triticum_aestivum	Traes_1AL_180B9CF01.1	Traes_1AL_180B9CF01	TraesCS1A01G421900	NA
Triticum_aestivum	Traes_1AL_1FFBFB058.1	Traes_1AL_1FFBFB058	TraesCS1A01G306300	NA
Triticum_aestivum	Traes_1AL_2AC682D6D.1	Traes_1AL_2AC682D6D	TraesCS1A01G186000	NA
Triticum_aestivum	Traes_1AL_2CAAB9D4A.1	Traes_1AL_2CAAB9D4A	TraesCS1A01G275000	NA
Triticum_aestivum	Traes_1AL_309623B48.1	Traes_1AL_309623B48	TraesCS1A01G301200	NA
Triticum_aestivum	Traes_1AL_323AE5FA3.4	Traes_1AL_323AE5FA3	TraesCS1A01G354900	NA
Triticum_aestivum	Traes_1AL_3493FCCBE.1	Traes_1AL_3493FCCBE	TraesCS1A01G437400	NA
Triticum_aestivum	Traes_1AL_3B659AABA.1	Traes_1AL_3B659AABA	TraesCS1A01G276600	NA
Triticum_aestivum	Traes_1AL_4B89B33E3.1	Traes_1AL_4B89B33E3	TraesCS1A01G260000	NA
Triticum_aestivum	Traes_1AL_4E924201A.1	Traes_1AL_4E924201A	TraesCS1A01G197400	NA
Triticum_aestivum	Traes_1AL_6EE3AB1BA.1	Traes_1AL_6EE3AB1BA	TraesCS1A01G480600LC	NA
Triticum_aestivum	Traes_1AL_79B8C6F15.1	Traes_1AL_79B8C6F15	TraesCS1A01G332600	NA
Triticum_aestivum	Traes_1AL_7D8C62AA4.1	Traes_1AL_7D8C62AA4	TraesCS1A01G176300	NA
Triticum_aestivum	Traes_1AL_81A6723C9.1	Traes_1AL_81A6723C9	TraesCS1A01G281300	NA
Triticum_aestivum	Traes_1AL_8BC434C02.2	Traes_1AL_8BC434C02	TraesCS1A01G214200	NA
Triticum_aestivum	Traes_1AL_8BC67B52F.1	Traes_1AL_8BC67B52F	TraesCS1A01G411700	NA
Triticum_aestivum	Traes_1AL_914726769.1	Traes_1AL_914726769	TraesCS1A01G212700	NA
Triticum_aestivum	Traes_1AL_95111FAAC.2	Traes_1AL_95111FAAC	TraesCS1A01G288500	NA
Triticum_aestivum	Traes_1AL_9ADA7A031.1	Traes_1AL_9ADA7A031	TraesCS1A01G358400	NA
Triticum_aestivum	Traes_1AL_A1EA76E83.2	Traes_1AL_A1EA76E83	TraesCS1A01G418200	NA
Triticum_aestivum	Traes_1AL_A3B85CAE6.1	Traes_1AL_A3B85CAE6	TraesCS1A01G427800	NA
Triticum_aestivum	Traes_1AL_A4B5C1474.2	Traes_1AL_A4B5C1474	TraesCS1A01G375600	NA
Triticum_aestivum	Traes_1AL_B24F28600.1	Traes_1AL_B24F28600	TraesCS1A01G301000	NA
Triticum_aestivum	Traes_1AL_BFDD733CB.2	Traes_1AL_BFDD733CB	TraesCS1A01G480100LC	NA
Triticum_aestivum	Traes_1AL_C4FA8404A.2	Traes_1AL_C4FA8404A	TraesCS1A01G266300	NA
Triticum_aestivum	Traes_1AL_C527C8688.1	Traes_1AL_C527C8688	TraesCS1A01G310700	NA
Triticum_aestivum	Traes_1AL_C76BCC7EC.1	Traes_1AL_C76BCC7EC	TraesCS1A01G275900	NA
Triticum_aestivum	Traes_1AL_C921492AA.1	Traes_1AL_C921492AA	TraesCS1A01G255300	NA
Triticum_aestivum	Traes_1AL_D6C49C3BC.2	Traes_1AL_D6C49C3BC	TraesCS1A01G190100	NA
Triticum_aestivum	Traes_1AL_DB7593004.2	Traes_1AL_DB7593004	TraesCS1A01G222300	NA
Triticum_aestivum	Traes_1AL_DD7FB8E96.1	Traes_1AL_DD7FB8E96	TraesCS1A01G481600LC	NA
Triticum_aestivum	Traes_1AL_E33C6D5CE.1	Traes_1AL_E33C6D5CE	TraesCS1A01G144400	NA
Triticum_aestivum	Traes_1AL_ED83D13D4.2	Traes_1AL_ED83D13D4	TraesCS1A01G176700	NA
Triticum_aestivum	Traes_1AL_F16BCEC90.2	Traes_1AL_F16BCEC90	TraesCS1A01G327100	NA
Triticum_aestivum	Traes_1AL_F18EC96DF.1	Traes_1AL_F18EC96DF	TraesCS1A01G409800	NA
Triticum_aestivum	Traes_1AL_F64E07A92.1	Traes_1AL_F64E07A92	TraesCS1A01G599200LC	NA
Triticum_aestivum	Traes_1AL_F8054064A.1	Traes_1AL_F8054064A	TraesCS1A01G293500	NA
Triticum_aestivum	Traes_1AL_FB0C83DD9.1	Traes_1AL_FB0C83DD9	TraesCS1A01G319700	NA
Triticum_aestivum	Traes_1AL_FFCC35B9C.1	Traes_1AL_FFCC35B9C	TraesCS1A01G335900	NA
Triticum_aestivum	Traes_1AS_1104A122D.1	Traes_1AS_1104A122D	TraesCS1A01G030100	NA
Triticum_aestivum	Traes_1AS_1432A2F79.1	Traes_1AS_1432A2F79	TraesCS1A01G121500	NA
Triticum_aestivum	Traes_1AS_1751C4BBF.2	Traes_1AS_1751C4BBF	TraesCS7B01G292500	NA
Triticum_aestivum	Traes_1AS_26CB95294.1	Traes_1AS_26CB95294	TraesCS1A01G062200	NA
Triticum_aestivum	Traes_1AS_412B31FC1.1	Traes_1AS_412B31FC1	TraesCS1A01G096300	NA
Triticum_aestivum	Traes_1AS_43FB6A3CF.1	Traes_1AS_43FB6A3CF	TraesCS1A01G111700	NA
Triticum_aestivum	Traes_1AS_4DA31F550.2	Traes_1AS_4DA31F550	TraesCS1A01G102400	NA
Triticum_aestivum	Traes_1AS_59001495A.1	Traes_1AS_59001495A	TraesCS5B01G025100	NA
Triticum_aestivum	Traes_1AS_94B6230FB1.1	Traes_1AS_94B6230FB1	TraesCS1A01G072600	NA
Triticum_aestivum	Traes_1AS_96F0745A2.1	Traes_1AS_96F0745A2	TraesCS1A01G110400	NA
Triticum_aestivum	Traes_1AS_97CE311BA.2	Traes_1AS_97CE311BA	TraesCS1A01G097300	NA
Triticum_aestivum	Traes_1AS_B348717F1.1	Traes_1AS_B348717F1	TraesCS1A01G035200	NA
Triticum_aestivum	Traes_1AS_C7D489C03.1	Traes_1AS_C7D489C03	TraesCS1A01G023000LC	NA
Triticum_aestivum	Traes_1AS_D3AEB9F29.1	Traes_1AS_D3AEB9F29	TraesCS1A01G030100	NA
Triticum_aestivum	Traes_1AS_D967CFB69.2	Traes_1AS_D967CFB69	TraesCS1A01G036400LC	NA
Triticum_aestivum	Traes_1AS_F08B3720F.2	Traes_1AS_F08B3720F	TraesCS1A01G128400	NA
